Local Authority District code (2024),Local Authority District name (2024),IMD - Average rank ,IMD - Rank of average rank ,IMD - Average score ,IMD - Rank of average score ,IMD - Proportion of LSOAs in most deprived 10% nationally ,IMD - Rank of proportion of LSOAs in most deprived 10% nationally ,IMD25 - Extent ,IMD25 - Rank of extent ,IMD25 - Local concentration ,IMD25 - Rank of local concentration 
E06000001,Hartlepool,23075.98,30,37.580,6,0.421,3,0.526,8,33623.27,3
E06000002,Middlesbrough,23840.54,21,40.037,2,0.500,1,0.566,3,33672.10,2
E06000003,Redcar and Cleveland,20592.69,62,30.336,37,0.250,25,0.367,44,33529.27,7
E06000004,Stockton-on-Tees,17658.71,119,25.830,69,0.194,41,0.318,59,33332.64,17
E06000005,Darlington,18611.35,103,25.713,72,0.197,40,0.281,69,33117.99,30
E06000006,Halton,20886.57,55,31.117,31,0.313,16,0.429,27,33327.38,18
E06000007,Warrington,13072.02,199,16.835,174,0.061,114,0.156,121,30722.59,114
E06000008,Blackburn with Darwen,24567.65,11,36.899,10,0.374,9,0.570,2,33262.48,24
E06000009,Blackpool,26536.86,1,43.467,1,0.404,6,0.522,9,33748.14,1
E06000010,"Kingston upon Hull, City of",24324.73,14,37.206,8,0.417,4,0.520,11,33340.11,16
E06000011,East Riding of Yorkshire,12648.72,203,15.755,189,0.061,113,0.098,155,30438.49,120
E06000012,North East Lincolnshire,19754.27,81,30.213,39,0.271,21,0.370,38,33609.96,4
E06000013,North Lincolnshire,18590.12,104,23.473,99,0.117,77,0.211,98,32214.66,63
E06000014,York,9512.50,261,11.814,251,0.000,193,0.068,179,27798.04,176
E06000015,Derby,19898.13,79,28.155,52,0.184,46,0.361,45,33110.37,32
E06000016,Leicester,25204.55,6,34.449,16,0.200,38,0.495,16,32821.38,43
E06000017,Rutland,8552.38,272,9.851,276,0.000,193,0.000,282,15058.78,294
E06000018,Nottingham,24079.07,18,33.747,20,0.307,18,0.504,15,32737.58,46
E06000019,"Herefordshire, County of",16764.48,136,18.762,152,0.009,185,0.071,178,28211.49,167
E06000020,Telford and Wrekin,19007.58,95,24.423,84,0.130,66,0.252,80,32109.44,66
E06000021,Stoke-on-Trent,23586.10,26,33.614,21,0.288,19,0.495,17,32889.75,39
E06000022,Bath and North East Somerset,10247.52,252,12.281,245,0.025,151,0.038,214,26239.75,209
E06000023,"Bristol, City of",17434.22,123,22.496,110,0.112,84,0.213,97,32343.28,62
E06000024,North Somerset,12208.97,215,15.456,192,0.065,111,0.096,158,30756.72,113
E06000025,South Gloucestershire,10114.56,253,11.614,254,0.000,193,0.010,258,22743.04,253
E06000026,Plymouth,18688.94,101,24.087,87,0.116,80,0.257,74,31881.10,77
E06000027,Torbay,21271.67,50,26.917,60,0.110,87,0.255,76,32441.40,58
E06000030,Swindon,14096.54,180,17.554,167,0.071,109,0.133,132,31025.90,110
E06000031,Peterborough,21226.31,51,27.799,54,0.132,65,0.367,43,31817.21,80
E06000032,Luton,22777.92,33,29.548,45,0.136,60,0.367,41,32093.18,67
E06000033,Southend-on-Sea,18080.37,113,24.027,89,0.111,85,0.265,71,32512.81,55
E06000034,Thurrock,17963.05,114,21.032,122,0.030,145,0.139,129,29766.73,139
E06000035,Medway,19136.32,91,24.354,85,0.089,97,0.253,78,31939.66,75
E06000036,Bracknell Forest,8640.96,271,10.084,271,0.000,193,0.000,282,20769.77,273
E06000037,West Berkshire,9686.36,257,11.049,261,0.000,193,0.009,262,20782.11,272
E06000038,Reading,16030.61,147,18.558,155,0.000,193,0.104,150,28786.82,161
E06000039,Slough,20246.11,72,22.967,105,0.000,193,0.122,140,27966.25,171
E06000040,Windsor and Maidenhead,7338.72,285,8.881,285,0.000,193,0.000,282,20386.36,275
E06000041,Wokingham,4328.48,295,6.102,295,0.000,193,0.004,271,16487.21,292
E06000042,Milton Keynes,15478.75,157,18.503,156,0.048,125,0.120,143,30250.04,126
E06000043,Brighton and Hove,16380.88,143,20.266,133,0.079,103,0.153,124,31382.57,99
E06000044,Portsmouth,20239.91,73,26.378,64,0.120,72,0.253,77,32824.24,41
E06000045,Southampton,20194.24,76,25.611,73,0.118,73,0.239,83,32164.22,64
E06000046,Isle of Wight,20855.08,56,24.599,83,0.034,139,0.201,106,30108.81,130
E06000047,County Durham,21488.54,47,28.808,49,0.170,53,0.360,46,32636.06,49
E06000049,Cheshire East,11388.25,231,14.169,212,0.025,153,0.095,159,29412.30,145
E06000050,Cheshire West and Chester,13879.12,186,17.736,163,0.086,98,0.147,127,31296.82,105
E06000051,Shropshire,15695.07,154,17.604,166,0.010,184,0.053,189,27206.63,186
E06000052,Cornwall,19456.45,86,22.321,112,0.033,141,0.117,146,29429.71,144
E06000053,Isles of Scilly,11924.00,221,12.650,240,0.000,193,0.000,282,11924.00,296
E06000054,Wiltshire,11989.35,219,13.608,225,0.007,189,0.029,226,25105.87,229
E06000055,Bedford,16413.20,141,19.747,138,0.043,131,0.153,123,30589.04,115
E06000056,Central Bedfordshire,11409.70,230,13.102,232,0.000,193,0.027,228,25196.55,226
E06000057,Northumberland,17154.36,128,21.963,115,0.110,86,0.201,105,32003.41,73
E06000058,"Bournemouth, Christchurch and Poole",14728.21,169,17.513,169,0.050,124,0.104,151,29777.21,137
E06000059,Dorset,14451.08,174,16.268,180,0.022,156,0.040,210,26390.71,204
E06000060,Buckinghamshire,10315.59,250,11.921,250,0.000,193,0.021,240,24636.59,237
E06000061,North Northamptonshire,15417.41,160,18.472,157,0.044,127,0.129,135,29819.72,136
E06000062,West Northamptonshire,13988.30,182,16.646,177,0.021,158,0.102,153,29073.38,151
E06000063,Cumberland,18871.62,98,23.807,95,0.102,91,0.233,87,31894.38,76
E06000064,Westmorland and Furness,14870.31,165,17.836,161,0.063,112,0.090,162,30499.01,118
E06000065,North Yorkshire,13523.03,189,15.799,188,0.026,148,0.065,180,28429.79,165
E06000066,Somerset,16776.04,134,19.137,143,0.021,159,0.089,165,29008.44,153
E07000008,Cambridge,9840.08,255,11.471,257,0.000,193,0.021,241,24135.24,244
E07000009,East Cambridgeshire,10996.11,242,12.217,247,0.000,193,0.002,278,21150.79,270
E07000010,Fenland,21985.08,42,26.100,66,0.089,95,0.207,101,30784.03,112
E07000011,Huntingdonshire,10441.25,249,11.804,252,0.000,193,0.006,269,22026.99,259
E07000012,South Cambridgeshire,7928.12,281,9.338,283,0.000,193,0.000,282,17551.73,289
E07000032,Amber Valley,15416.02,161,18.593,154,0.038,135,0.123,139,30405.82,122
E07000033,Bolsover,21151.94,52,25.728,71,0.060,115,0.222,94,31299.08,103
E07000034,Chesterfield,19824.62,80,25.388,77,0.116,78,0.282,68,31778.30,86
E07000035,Derbyshire Dales,12267.26,213,13.761,222,0.023,155,0.021,239,23485.22,248
E07000036,Erewash,16252.29,144,20.726,127,0.082,101,0.186,109,31740.47,88
E07000037,High Peak,14857.49,167,17.642,164,0.051,121,0.098,156,29548.06,143
E07000038,North East Derbyshire,15478.53,158,18.689,153,0.047,126,0.130,134,30107.33,131
E07000039,South Derbyshire,12308.24,210,14.369,211,0.016,175,0.054,188,27111.72,188
E07000040,East Devon,13234.30,195,14.548,205,0.000,193,0.014,250,23889.57,246
E07000041,Exeter,13807.01,187,15.946,185,0.000,193,0.063,182,27435.59,183
E07000042,Mid Devon,17272.33,126,18.984,150,0.000,193,0.044,205,26211.59,211
E07000043,North Devon,18856.77,99,22.002,114,0.051,121,0.125,138,30392.95,123
E07000044,South Hams,14013.15,181,15.115,199,0.000,193,0.007,266,21909.20,260
E07000045,Teignbridge,15446.44,159,17.180,172,0.000,193,0.051,193,26856.76,193
E07000046,Torridge,20911.35,54,23.865,94,0.000,193,0.103,152,28846.98,160
E07000047,West Devon,17675.39,117,19.096,146,0.000,193,0.012,253,24159.14,243
E07000061,Eastbourne,18944.08,96,23.904,93,0.133,63,0.218,96,31798.17,83
E07000062,Hastings,25467.53,3,37.255,7,0.340,14,0.481,20,33482.06,10
E07000063,Lewes,14661.52,170,16.774,175,0.000,193,0.072,176,27591.54,181
E07000064,Rother,19086.86,93,22.519,109,0.052,120,0.152,125,30458.89,119
E07000065,Wealden,11185.60,238,12.655,239,0.000,193,0.024,233,23215.31,250
E07000066,Basildon,17615.34,120,22.599,106,0.080,102,0.252,79,31244.65,107
E07000067,Braintree,15016.00,164,16.638,178,0.000,193,0.034,221,25833.56,219
E07000068,Brentwood,9499.77,262,10.942,264,0.000,193,0.008,264,22941.52,251
E07000069,Castle Point,15200.88,162,17.640,165,0.018,166,0.087,166,28921.57,155
E07000070,Chelmsford,11282.76,233,13.122,230,0.000,193,0.045,204,26617.32,201
E07000071,Colchester,14827.59,168,17.339,171,0.017,173,0.086,167,29097.83,150
E07000072,Epping Forest,12591.81,205,14.101,215,0.000,193,0.014,251,24174.84,242
E07000073,Harlow,19106.71,92,21.659,116,0.017,171,0.098,157,27627.46,180
E07000074,Maldon,14651.01,171,15.976,184,0.000,193,0.006,267,23797.84,247
E07000075,Rochford,9526.62,260,11.423,258,0.019,163,0.026,229,24522.98,238
E07000076,Tendring,23237.65,28,32.080,25,0.202,36,0.337,51,33363.62,15
E07000077,Uttlesford,8667.39,269,9.968,274,0.000,193,0.000,282,15463.13,293
E07000078,Cheltenham,10306.30,251,12.961,234,0.026,150,0.084,169,28722.68,162
E07000079,Cotswold,10928.22,243,12.052,249,0.000,193,0.004,273,19248.68,283
E07000080,Forest of Dean,17517.86,121,19.129,144,0.000,193,0.050,195,26414.08,203
E07000081,Gloucester,16397.89,142,21.534,117,0.110,88,0.239,84,31837.84,79
E07000082,Stroud,11250.16,234,12.629,241,0.000,193,0.020,243,23283.34,249
E07000083,Tewkesbury,9841.54,254,11.549,255,0.018,165,0.024,235,24485.37,239
E07000084,Basingstoke and Deane,11220.01,237,12.953,235,0.000,193,0.025,230,25174.41,227
E07000085,East Hampshire,8300.38,278,9.881,275,0.000,193,0.005,270,21485.43,266
E07000086,Eastleigh,9327.10,263,10.996,263,0.000,193,0.025,232,24283.04,241
E07000087,Fareham,6244.64,291,8.067,290,0.000,193,0.018,247,21321.00,268
E07000088,Gosport,18904.90,97,23.450,101,0.089,95,0.227,89,31395.17,98
E07000089,Hart,4236.16,296,5.914,296,0.000,193,0.000,282,13527.99,295
E07000090,Havant,16449.59,139,21.459,119,0.114,81,0.234,85,31688.89,89
E07000091,New Forest,11096.91,239,12.941,236,0.018,166,0.035,218,25952.98,217
E07000092,Rushmoor,13183.28,197,15.157,198,0.000,193,0.053,190,27008.74,190
E07000093,Test Valley,10496.99,247,12.166,248,0.000,193,0.032,224,25086.27,230
E07000094,Winchester,8709.28,268,10.218,267,0.000,193,0.012,254,21868.76,261
E07000095,Broxbourne,15812.06,152,17.800,162,0.000,193,0.055,185,26137.86,213
E07000096,Dacorum,12294.02,211,14.031,217,0.000,193,0.034,222,25766.80,222
E07000098,Hertsmere,12233.33,214,14.123,214,0.016,176,0.038,215,26279.34,207
E07000099,North Hertfordshire,9701.10,256,11.312,259,0.000,193,0.020,244,24715.78,236
E07000102,Three Rivers,8474.95,275,9.978,273,0.000,193,0.012,255,22570.61,255
E07000103,Watford,14446.32,175,16.254,181,0.000,193,0.049,197,26543.74,202
E07000105,Ashford,16881.10,133,19.717,139,0.037,136,0.119,145,29754.00,140
E07000106,Canterbury,15870.85,149,19.219,142,0.044,128,0.158,120,30344.89,124
E07000107,Dartford,15079.12,163,17.375,170,0.015,177,0.074,175,28463.07,164
E07000108,Dover,20097.95,78,24.869,81,0.116,78,0.225,93,31801.48,82
E07000109,Gravesham,19077.72,94,23.624,97,0.092,93,0.225,92,31525.89,93
E07000110,Maidstone,15572.46,155,18.093,160,0.030,143,0.089,163,29168.78,148
E07000111,Sevenoaks,12546.49,206,14.370,210,0.013,179,0.047,200,26685.19,197
E07000112,Folkestone and Hythe,20407.28,66,25.193,79,0.075,106,0.228,88,31562.24,90
E07000113,Swale,20715.83,59,26.683,62,0.144,59,0.247,81,32826.80,40
E07000114,Thanet,22856.68,32,32.017,26,0.186,45,0.368,39,33537.94,6
E07000115,Tonbridge and Malling,11244.09,235,13.023,233,0.000,193,0.035,219,25797.69,221
E07000116,Tunbridge Wells,12282.24,212,13.894,219,0.000,193,0.025,231,24973.33,231
E07000117,Burnley,25410.62,4,38.681,3,0.400,7,0.557,5,33409.88,14
E07000118,Chorley,13355.99,190,16.381,179,0.043,130,0.122,141,29863.40,135
E07000119,Fylde,13580.56,188,15.712,190,0.039,134,0.052,192,27271.88,184
E07000120,Hyndburn,24251.07,16,35.430,14,0.321,15,0.507,14,33167.18,26
E07000121,Lancaster,16770.21,135,22.408,111,0.114,82,0.209,99,32906.26,37
E07000122,Pendle,24347.02,13,35.285,15,0.351,13,0.478,21,32822.83,42
E07000123,Preston,20849.23,57,28.762,50,0.172,50,0.414,32,32417.34,59
E07000124,Ribble Valley,8521.67,273,9.997,272,0.000,193,0.001,280,19776.82,280
E07000125,Rossendale,20705.63,60,25.988,67,0.093,92,0.303,65,31245.30,106
E07000126,South Ribble,11514.27,227,14.136,213,0.029,147,0.085,168,29159.23,149
E07000127,West Lancashire,14339.88,176,18.265,159,0.055,117,0.155,122,31358.24,101
E07000128,Wyre,15841.70,150,20.864,125,0.130,66,0.147,126,33037.89,34
E07000129,Blaby,9191.26,265,10.500,266,0.000,193,0.000,282,19006.11,284
E07000130,Charnwood,11308.29,232,13.272,228,0.020,161,0.043,208,26747.64,195
E07000131,Harborough,7859.43,283,9.224,284,0.000,193,0.000,282,16880.88,290
E07000132,Hinckley and Bosworth,12057.39,218,13.703,224,0.000,193,0.024,234,25118.02,228
E07000133,Melton,13123.92,198,14.866,202,0.000,193,0.047,201,26657.18,199
E07000134,North West Leicestershire,13269.84,194,15.307,194,0.017,174,0.049,199,27152.99,187
E07000135,Oadby and Wigston,11425.70,229,13.428,227,0.000,193,0.046,202,26282.87,206
E07000136,Boston,22656.79,36,28.459,51,0.128,70,0.318,60,31419.33,96
E07000137,East Lindsey,23262.04,27,30.392,36,0.146,58,0.334,52,32819.43,44
E07000138,Lincoln,21464.76,48,28.872,47,0.200,38,0.342,50,33115.99,31
E07000139,North Kesteven,11620.74,226,13.168,229,0.000,193,0.023,236,24894.96,233
E07000140,South Holland,18826.66,100,20.984,123,0.020,161,0.075,172,27480.99,182
E07000141,South Kesteven,12928.87,201,15.161,196,0.036,137,0.050,196,27258.26,185
E07000142,West Lindsey,17009.94,131,21.492,118,0.113,83,0.171,114,32091.93,68
E07000143,Breckland,18092.91,112,20.374,129,0.013,181,0.089,164,28654.30,163
E07000144,Broadland,11003.96,240,12.222,246,0.000,193,0.000,282,20520.40,274
E07000145,Great Yarmouth,23697.24,25,34.228,18,0.250,25,0.373,37,33591.91,5
E07000146,King's Lynn and West Norfolk,20364.86,69,24.054,88,0.054,118,0.167,116,30524.85,116
E07000147,North Norfolk,19348.27,89,21.114,121,0.000,193,0.039,213,26007.57,216
E07000148,Norwich,20585.20,64,26.262,65,0.118,74,0.313,62,31365.26,100
E07000149,South Norfolk,11946.35,220,13.115,231,0.000,193,0.000,282,21686.04,265
E07000170,Ashfield,20205.43,75,25.568,74,0.117,76,0.256,75,31947.98,74
E07000171,Bassetlaw,18287.97,111,22.540,108,0.073,108,0.199,107,31412.55,97
E07000172,Broxtowe,11483.72,228,13.752,223,0.000,193,0.064,181,27943.83,172
E07000173,Gedling,12368.10,209,14.485,206,0.013,180,0.050,194,26863.96,192
E07000174,Mansfield,20108.67,77,26.909,61,0.132,64,0.316,61,32483.79,57
E07000175,Newark and Sherwood,15815.79,151,19.056,147,0.041,132,0.140,128,30243.64,127
E07000176,Rushcliffe,6207.46,294,7.838,294,0.000,193,0.003,276,18643.46,287
E07000177,Cherwell,10900.53,244,12.624,242,0.000,193,0.030,225,25545.49,224
E07000178,Oxford,12110.23,217,14.423,208,0.024,154,0.076,170,28084.04,169
E07000179,South Oxfordshire,7046.39,287,8.546,287,0.000,193,0.000,282,16751.01,291
E07000180,Vale of White Horse,8049.80,280,9.472,281,0.000,193,0.006,268,17974.30,288
E07000181,West Oxfordshire,8641.18,270,10.148,269,0.000,193,0.007,265,19965.45,279
E07000192,Cannock Chase,16960.75,132,19.899,136,0.033,140,0.129,136,29281.38,146
E07000193,East Staffordshire,15520.06,156,19.021,148,0.056,116,0.170,115,30162.44,128
